,city_name,city_lon,city_lat,state,region,city_area,park_area,golf_area,park_num,golf_num,private_golf_area,public_golf_area,private_golf_num,public_golf_num,park_fraction,golf_fraction,private_golf_fraction,public_golf_fraction,greenspace_area,Population,golf_per_capita,golf_vs_greenspace
0,"Atlanta, GA",-84.3318578,33.8241019,13,3,6852859863,113200963.64401343,73068437.37866636,709,206,12184983.934639586,11945532.60952499,14,18,0.0165187915566767,0.0106624736007192,0.0017780874230959,0.0017431456134133,186269401.0226798,4118674,17.740767387432548,0.3922728960177935
1,"Austin, TX",-97.761533,30.3585141,48,3,1355604502,53020393.41757813,14169074.586309576,480,30,3815793.463810724,5771407.322756382,6,9,0.0391119927230649,0.0104522185972421,0.00281482796655,0.0042574418381183,67189468.00388771,1142036,12.406854588042387,0.21088237498010443
2,"Baltimore, MD",-76.6477596,39.2340992,24,3,1856781570,116167248.38247068,22015232.97142375,789,33,8999059.226268431,11555845.004183982,12,13,0.0625637663898563,0.0118566628014429,0.0048465901275982,0.0062235888113559,138182481.35389444,1988139,11.073286611964127,0.15932000030482363
3,"Boston, MA--NH--RI",-71.1409905,42.3738659,25,1,4852781580,484562076.1118691,57905058.624982975,3431,216,22921969.975787196,28174905.260603976,45,65,0.0998524388793672,0.0119323438878085,0.0047234703639365,0.0058059289906478,542467134.736852,3761259,15.395126638442866,0.10674390191964793
4,"Bridgeport--Stamford, CT--NY",-73.5340025,41.1353007,9,1,1207903484,39767157.276457205,14422051.50711004,275,32,8923696.584680555,4088661.0143657513,19,7,0.0329224626000476,0.0119397383136532,0.0073877563090798,0.0033849236040168,54189208.78356725,769388,18.744835514863816,0.2661425001555567
5,"Buffalo, NY",-78.8236745,42.9249297,36,1,984087443,26728512.453389157,13602574.605012383,263,28,3589077.3787472704,5697415.251916522,6,11,0.0271607087800114,0.0138225263433346,0.0036471122604775,0.0057895416636431,40331087.05840154,801460,16.97224391112767,0.33727269947658833
6,"Charlotte, NC--SC",-80.8158259,35.2496538,37,3,1920016481,40788645.53430865,26650943.261137526,264,38,12612668.917239215,10507028.526967512,15,14,0.021243903861213,0.0138805804662973,0.0065690420066968,0.0054723637171568,67439588.79544617,1072969,24.838502567303927,0.3951824697800814
7,"Chicago, IL--IN",-87.8954275,41.8271261,17,2,6320602914,425871167.8933432,152470563.12734312,3479,302,54487096.93757023,88178882.94673723,80,153,0.0673782507282727,0.0241227878419041,0.0086205537159884,0.0139510239998502,578341731.0206864,7798669,19.550844269367392,0.2636340332181381
8,"Cincinnati, OH--KY--IN",-84.4620436,39.185506,39,2,2039123552,70019531.54398887,27729047.06088952,441,60,8903110.28003097,12418063.626647295,16,22,0.0343380524810832,0.0135985124754664,0.0043661455782307,0.0060899025046655,97748578.6048784,1394715,19.88151490511647,0.283677240699085
9,"Cleveland, OH",-81.605443,41.4436381,39,2,2004141965,83335545.97292951,26117930.76756548,426,49,7268751.038594794,10909475.653996889,10,20,0.0415816581002182,0.0130319763887412,0.0036268643467054,0.0054434645072645,109453476.740495,1536789,16.995131255862372,0.23862129870473556
10,"Columbus, OH",-82.968532,40.0211614,39,2,1322424164,58413134.98636118,22931397.154208347,521,39,11644621.592533082,6851481.671896361,13,12,0.0441712550152412,0.0173404250908775,0.0088055118089426,0.0051810015715172,81344532.14056954,1283665,17.8640043579971,0.28190459211912544
11,"Dallas--Fort Worth--Arlington, TX",-96.9720007,32.8127265,48,3,4612258293,165525185.32433933,70628811.83085623,1452,105,19586063.368446693,26801959.10116704,27,29,0.0358880996702973,0.0153132819855404,0.0042465235301701,0.0058110273533128,236153997.15519556,5088164,13.881001443911051,0.299079467981397
12,"Denver--Aurora, CO",-104.9550955,39.7107736,8,4,1726502917,102874505.071973,34598658.4200999,1136,72,8881034.474289741,21923746.394019805,13,36,0.0595854800238214,0.0200397335442786,0.005143944088853,0.0126983546787832,137473163.49207288,2361463,14.651365877890061,0.2516757274018428
13,"Detroit, MI",-83.227554,42.4900049,26,2,3460245349,118871241.48866186,64921456.14623891,1011,118,22822806.665435832,38594823.286050364,40,63,0.0343534141366638,0.0187620962094497,0.0065957191943142,0.0111537822880692,183792697.63490075,3450016,18.817726105107603,0.353231967219958
